"Link:PlotId","Link:PlotAttributeId","AttributeName","AttributeValue"
"449","45","TREATMENT","Rice2 / 2 / Band application beneath surface"
"450","45","TREATMENT","Rice1 / 0 / Band application beneath surface"
"451","45","TREATMENT","Rice1 / 2 / Band application beneath surface"
"452","45","TREATMENT","Rice2 / 0 / Band application beneath surface"
"453","45","TREATMENT","Rice2 / 0 / Broadcast incorporated"
"454","45","TREATMENT","Rice1 / 2 / Broadcast incorporated"
"455","45","TREATMENT","Rice2 / 2 / Broadcast incorporated"
"456","45","TREATMENT","Rice3 / 4 / Band application beneath surface"
"457","45","TREATMENT","Rice1 / 4 / Broadcast incorporated"
"458","45","TREATMENT","Rice3 / 4 / Broadcast incorporated"
"459","45","TREATMENT","Rice1 / 0 / Broadcast incorporated"
"460","45","TREATMENT","Rice1 / 4 / Band application beneath surface"
"461","45","TREATMENT","Rice1 / 0 / Band application beneath surface"
"462","45","TREATMENT","Rice2 / 0 / Band application beneath surface"
"463","45","TREATMENT","Rice2 / 2 / Broadcast incorporated"
"464","45","TREATMENT","Rice1 / 4 / Broadcast incorporated"
"465","45","TREATMENT","Rice2 / 0 / Broadcast incorporated"
"466","45","TREATMENT","Rice1 / 0 / Broadcast incorporated"
"467","45","TREATMENT","Rice1 / 4 / Band application beneath surface"
"468","45","TREATMENT","Rice1 / 2 / Broadcast incorporated"
"469","45","TREATMENT","Rice3 / 4 / Band application beneath surface"
"470","45","TREATMENT","Rice3 / 4 / Broadcast incorporated"
"471","45","TREATMENT","Rice2 / 2 / Band application beneath surface"
"472","45","TREATMENT","Rice1 / 2 / Band application beneath surface"
"473","45","TREATMENT","Rice2 / 0 / Band application beneath surface"
"474","45","TREATMENT","Rice1 / 4 / Band application beneath surface"
"475","45","TREATMENT","Rice1 / 0 / Band application beneath surface"
"476","45","TREATMENT","Rice3 / 4 / Broadcast incorporated"
"477","45","TREATMENT","Rice1 / 0 / Broadcast incorporated"
"478","45","TREATMENT","Rice1 / 2 / Broadcast incorporated"
"479","45","TREATMENT","Rice1 / 4 / Broadcast incorporated"
"480","45","TREATMENT","Rice1 / 2 / Band application beneath surface"
"481","45","TREATMENT","Rice2 / 0 / Broadcast incorporated"
"482","45","TREATMENT","Rice2 / 2 / Broadcast incorporated"
"483","45","TREATMENT","Rice3 / 4 / Band application beneath surface"
"484","45","TREATMENT","Rice2 / 2 / Band application beneath surface"
