"SourcePlotId","PlotId","PlotRow","PlotColumn","Block","WhenDeactivated","PlotType","PlantedSpecimen","Barcode","PlantingDate","Note","PlotLocation","Tags","Link:PlotId"
"","1","1","1","1","","","","","","","","","449"
"","2","1","4","2","","","","","","","","","450"
"","3","4","1","3","","","","","","","","","451"
"","4","4","4","4","","","","","","","","","452"
"","5","1","2","4","","","","","","","","","453"
"","6","1","5","3","","","","","","","","","454"
"","7","4","7","2","","","","","","","","","455"
"","8","4","8","1","","","","","","","","","456"
"","9","1","3","1","","","","","","","","","457"
"","10","1","6","2","","","","","","","","","458"
"","11","4","3","3","","","","","","","","","459"
"","12","4","6","4","","","","","","","","","460"
"","13","2","1","1","","","","","","","","","461"
"","14","2","4","2","","","","","","","","","462"
"","15","5","1","3","","","","","","","","no seeds","463"
"","16","5","4","4","","","","","","","","","464"
"","17","2","2","4","","","","","","","","","465"
"","18","2","5","3","","","","","","","","","466"
"","19","5","2","2","","","","","","","","","467"
"","20","5","5","1","","","","","","","","","468"
"","21","2","3","1","","","","","","","","","469"
"","22","2","6","2","","","","","","","","","470"
"","23","5","3","3","","","","","","","","","471"
"","24","5","6","4","","","","","","","","","472"
"","25","3","1","1","","","","","","","","","473"
"","26","3","4","2","","","","","","","","","474"
"","27","6","1","3","","","","","","","","","475"
"","28","6","4","4","","","","","","","","","476"
"","29","3","2","4","","","","","","","","","477"
"","30","3","5","3","","","","","","","","","478"
"","31","6","2","2","","","","","","","","","479"
"","32","6","5","1","","","","","","","","","480"
"","33","3","3","1","","","","","","","","","481"
"","34","3","6","2","","","","","","","","","482"
"","35","6","3","3","","","","","","","","","483"
"","36","6","6","4","","","","","","","","","484"
