"SourceSampleId","SampleId","SpecimenNumber","TraitName","TraitInstanceNumber","MeasureDateTime","TraitValue","Location","Link:PlotId"
"","22661","0","Harvest_start_date","1","2019-10-10T16:19:43+0200","2020-09-30","","449"
"","22409","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:32:03+0200","180.00","","449"
"","22410","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:01:03+0200","18.00","","449"
"","22411","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:06:42+0200","22.00","","449"
"","22412","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:14:22+0200","20.00","","449"
"","22697","0","Maturity_start_date","1","2019-10-10T16:27:10+0200","2020-09-10","","449"
"","22733","0","Cation_exchange_capacity","1","","","","449"
"","22734","0","Cation_exchange_capacity","2","","","","449"
"","22735","0","Cation_exchange_capacity","3","","","","449"
"","22736","0","Cation_exchange_capacity","4","","","","449"
"","22737","0","Cation_exchange_capacity","5","","","","449"
"","22553","0","Crop_residue_moisture","1","","","","449"
"","22589","0","Puddling_start_date","1","2019-10-10T16:11:46+0200","2019-10-10","","449"
"","22625","0","Transplanting_start_date","1","2019-10-10T16:14:02+0200","2020-06-25","","449"
"","22662","0","Harvest_start_date","1","2019-10-10T16:20:33+0200","2020-09-30","","450"
"","22413","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:37:10+0200","254.00","","450"
"","22414","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:02:24+0200","26.00","","450"
"","22415","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:08:09+0200","28.00","","450"
"","22416","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:14:45+0200","21.00","","450"
"","22698","0","Maturity_start_date","1","2019-10-10T16:27:54+0200","2020-09-10","","450"
"","22738","0","Cation_exchange_capacity","1","","","","450"
"","22739","0","Cation_exchange_capacity","2","","","","450"
"","22740","0","Cation_exchange_capacity","3","","","","450"
"","22741","0","Cation_exchange_capacity","4","","","","450"
"","22742","0","Cation_exchange_capacity","5","","","","450"
"","22554","0","Crop_residue_moisture","1","","","","450"
"","22590","0","Puddling_start_date","1","2019-10-10T16:12:00+0200","2019-10-10","","450"
"","22626","0","Transplanting_start_date","1","2019-10-10T16:16:09+0200","2020-06-20","","450"
"","22663","0","Harvest_start_date","1","2019-10-10T16:20:15+0200","2020-09-30","","451"
"","22417","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:36:14+0200","251.00","","451"
"","22418","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:01:51+0200","27.00","","451"
"","22419","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:07:40+0200","28.00","","451"
"","22420","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:14:35+0200","25.00","","451"
"","22699","0","Maturity_start_date","1","2019-10-10T16:27:39+0200","2020-09-10","","451"
"","22743","0","Cation_exchange_capacity","1","","","","451"
"","22744","0","Cation_exchange_capacity","2","","","","451"
"","22745","0","Cation_exchange_capacity","3","","","","451"
"","22746","0","Cation_exchange_capacity","4","","","","451"
"","22747","0","Cation_exchange_capacity","5","","","","451"
"","22555","0","Crop_residue_moisture","1","","","","451"
"","22591","0","Puddling_start_date","1","2019-10-10T16:11:59+0200","2019-10-10","","451"
"","22627","0","Transplanting_start_date","1","2019-10-10T16:15:17+0200","2020-06-20","","451"
"","22664","0","Harvest_start_date","1","2019-10-10T16:20:58+0200","2020-09-30","","452"
"","22421","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:37:57+0200","181.00","","452"
"","22422","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:03:02+0200","18.00","","452"
"","22423","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:08:42+0200","22.00","","452"
"","22424","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:15:14+0200","21.00","","452"
"","22700","0","Maturity_start_date","1","2019-10-10T16:28:13+0200","2020-09-10","","452"
"","22748","0","Cation_exchange_capacity","1","","","","452"
"","22749","0","Cation_exchange_capacity","2","","","","452"
"","22750","0","Cation_exchange_capacity","3","","","","452"
"","22751","0","Cation_exchange_capacity","4","","","","452"
"","22752","0","Cation_exchange_capacity","5","","","","452"
"","22556","0","Crop_residue_moisture","1","","","","452"
"","22592","0","Puddling_start_date","1","2019-10-10T16:12:02+0200","2019-10-10","","452"
"","22628","0","Transplanting_start_date","1","2019-10-10T16:17:13+0200","2020-06-20","","452"
"","22665","0","Harvest_start_date","1","2019-10-10T16:20:37+0200","2020-09-30","","453"
"","22425","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:37:21+0200","178.00","","453"
"","22426","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:02:33+0200","17.00","","453"
"","22427","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:08:15+0200","21.00","","453"
"","22428","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:14:48+0200","24.00","","453"
"","22701","0","Maturity_start_date","1","2019-10-10T16:27:58+0200","2020-09-10","","453"
"","22753","0","Cation_exchange_capacity","1","","","","453"
"","22754","0","Cation_exchange_capacity","2","","","","453"
"","22755","0","Cation_exchange_capacity","3","","","","453"
"","22756","0","Cation_exchange_capacity","4","","","","453"
"","22757","0","Cation_exchange_capacity","5","","","","453"
"","22557","0","Crop_residue_moisture","1","","","","453"
"","22593","0","Puddling_start_date","1","2019-10-10T16:12:00+0200","2019-10-10","","453"
"","22629","0","Transplanting_start_date","1","2019-10-10T16:16:22+0200","2020-06-20","","453"
"","22666","0","Harvest_start_date","1","2019-10-10T16:19:50+0200","2020-09-30","","454"
"","22429","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:32:33+0200","240.00","","454"
"","22430","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:01:10+0200","24.00","","454"
"","22431","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:06:48+0200","24.00","","454"
"","22432","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:14:25+0200","20.00","","454"
"","22702","0","Maturity_start_date","1","2019-10-10T16:27:22+0200","2020-09-10","","454"
"","22758","0","Cation_exchange_capacity","1","","","","454"
"","22759","0","Cation_exchange_capacity","2","","","","454"
"","22760","0","Cation_exchange_capacity","3","","","","454"
"","22761","0","Cation_exchange_capacity","4","","","","454"
"","22762","0","Cation_exchange_capacity","5","","","","454"
"","22558","0","Crop_residue_moisture","1","","","","454"
"","22594","0","Puddling_start_date","1","2019-10-10T16:11:57+0200","2019-10-10","","454"
"","22630","0","Transplanting_start_date","1","2019-10-10T16:14:22+0200","2020-06-20","","454"
"","22667","0","Harvest_start_date","1","2019-10-10T16:20:59+0200","2020-09-30","","455"
"","22433","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:38:00+0200","178.00","","455"
"","22434","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:03:06+0200","17.00","","455"
"","22435","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:08:45+0200","21.00","","455"
"","22436","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:15:15+0200","21.00","","455"
"","22703","0","Maturity_start_date","1","2019-10-10T16:28:15+0200","2020-09-10","","455"
"","22763","0","Cation_exchange_capacity","1","","","","455"
"","22764","0","Cation_exchange_capacity","2","","","","455"
"","22765","0","Cation_exchange_capacity","3","","","","455"
"","22766","0","Cation_exchange_capacity","4","","","","455"
"","22767","0","Cation_exchange_capacity","5","","","","455"
"","22559","0","Crop_residue_moisture","1","","","","455"
"","22595","0","Puddling_start_date","1","2019-10-10T16:12:02+0200","2019-10-10","","455"
"","22631","0","Transplanting_start_date","1","2019-10-10T16:17:19+0200","2020-06-20","","455"
"","22668","0","Harvest_start_date","1","2019-10-10T16:20:17+0200","2020-09-30","","456"
"","22437","0","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","2019-10-10T16:36:18+0200","200.00","","456"
"","22438","0","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","2019-10-10T17:01:56+0200","200.00","","456"
"","22439","0","Rice_Grain_Fresh weight 1000 grain_g","1","2019-10-10T17:07:48+0200","24.00","","456"
"","22440","0","Rice_Grain_Moisture content_%","1","2019-10-10T17:14:36+0200","21.00","","456"
