"SourceInstanceId","TraitName","InstanceNumber","UsedForScoring","SortOrder","Description"
"","Rice_Total aboveground biomass (including panicles)_Fresh weight_kg","1","false","1","(p)  Ric_TotAbo_FreW"
"","Rice_Total aboveground biomass (including panicles)_Dry weight_kg","1","false","2","(p)  Ric_TotAbo_DryW"
"","Rice_Grain_Fresh weight 1000 grain_g","1","false","3","(p)  Ric_SR_FreW1000"
"","Rice_Grain_Moisture content_%","1","true","4","(p)  Ric_Gra_Moist"
"","Crop_residue_moisture","1","false","5","(p)  Res_Mois"
"","Puddling_start_date","1","false","6","(p)  Pud_StartD"
"","Transplanting_start_date","1","false","7","(p)  Tra_StartD"
"","Harvest_start_date","1","false","8","(p)  Har_StartD"
"","Maturity_start_date","1","false","9","(p)  Mat_StartD"
"","Cation_exchange_capacity","4","false","10","(p)  Soil_CEC__4"
"","Cation_exchange_capacity","5","false","10","(p)  Soil_CEC__5"
"","Cation_exchange_capacity","1","false","10","(p)  Soil_CEC"
"","Cation_exchange_capacity","2","false","10","(p)  Soil_CEC__2"
"","Cation_exchange_capacity","3","false","10","(p)  Soil_CEC__3"
