"Link:PlotId","Link:PlotAttributeId","AttributeName","AttributeValue"
"340","91","TREATMENT","v1_Irrigation sprinkler system_300mm_0 cm_2019-05-08"
"340","89","Crop variety_f1","v1"
"340","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"340","90","Tillage depth_f3","0 cm"
"340","87","Seeding start date_f4","2019-05-08"
"341","91","TREATMENT","v2_Irrigation sprinkler system_300mm_0 cm_2019-05-08"
"341","89","Crop variety_f1","v2"
"341","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"341","90","Tillage depth_f3","0 cm"
"341","87","Seeding start date_f4","2019-05-08"
"342","91","TREATMENT","v2_Irrigation sprinkler system_300mm_0 cm_2019-04-08"
"342","89","Crop variety_f1","v2"
"342","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"342","90","Tillage depth_f3","0 cm"
"342","87","Seeding start date_f4","2019-04-08"
"343","91","TREATMENT","v1_Irrigation sprinkler system_300mm_10 cm_2019-04-08"
"343","89","Crop variety_f1","v1"
"343","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"343","90","Tillage depth_f3","10 cm"
"343","87","Seeding start date_f4","2019-04-08"
"344","91","TREATMENT","v1_Irrigation sprinkler system_200mm_0 cm_2019-04-08"
"344","89","Crop variety_f1","v1"
"344","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"344","90","Tillage depth_f3","0 cm"
"344","87","Seeding start date_f4","2019-04-08"
"345","91","TREATMENT","v2_Irrigation sprinkler system_300mm_10 cm_2019-05-08"
"345","89","Crop variety_f1","v2"
"345","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"345","90","Tillage depth_f3","10 cm"
"345","87","Seeding start date_f4","2019-05-08"
"346","91","TREATMENT","v1_Irrigation sprinkler system_200mm_0 cm_2019-05-08"
"346","89","Crop variety_f1","v1"
"346","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"346","90","Tillage depth_f3","0 cm"
"346","87","Seeding start date_f4","2019-05-08"
"347","91","TREATMENT","v1_Irrigation sprinkler system_200mm_10 cm_2019-04-08"
"347","89","Crop variety_f1","v1"
"347","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"347","90","Tillage depth_f3","10 cm"
"347","87","Seeding start date_f4","2019-04-08"
"348","91","TREATMENT","v1_Irrigation sprinkler system_300mm_10 cm_2019-05-08"
"348","89","Crop variety_f1","v1"
"348","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"348","90","Tillage depth_f3","10 cm"
"348","87","Seeding start date_f4","2019-05-08"
"349","91","TREATMENT","v1_Irrigation sprinkler system_200mm_10 cm_2019-05-08"
"349","89","Crop variety_f1","v1"
"349","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"349","90","Tillage depth_f3","10 cm"
"349","87","Seeding start date_f4","2019-05-08"
"350","91","TREATMENT","v1_Irrigation sprinkler system_300mm_0 cm_2019-04-08"
"350","89","Crop variety_f1","v1"
"350","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"350","90","Tillage depth_f3","0 cm"
"350","87","Seeding start date_f4","2019-04-08"
"351","91","TREATMENT","v2_Irrigation sprinkler system_200mm_10 cm_2019-05-08"
"351","89","Crop variety_f1","v2"
"351","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"351","90","Tillage depth_f3","10 cm"
"351","87","Seeding start date_f4","2019-05-08"
"352","91","TREATMENT","v2_Irrigation sprinkler system_300mm_10 cm_2019-04-08"
"352","89","Crop variety_f1","v2"
"352","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"352","90","Tillage depth_f3","10 cm"
"352","87","Seeding start date_f4","2019-04-08"
"353","91","TREATMENT","v2_Irrigation sprinkler system_200mm_0 cm_2019-05-08"
"353","89","Crop variety_f1","v2"
"353","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"353","90","Tillage depth_f3","0 cm"
"353","87","Seeding start date_f4","2019-05-08"
"354","91","TREATMENT","v2_Irrigation sprinkler system_200mm_0 cm_2019-04-08"
"354","89","Crop variety_f1","v2"
"354","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"354","90","Tillage depth_f3","0 cm"
"354","87","Seeding start date_f4","2019-04-08"
"355","91","TREATMENT","v2_Irrigation sprinkler system_200mm_10 cm_2019-04-08"
"355","89","Crop variety_f1","v2"
"355","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"355","90","Tillage depth_f3","10 cm"
"355","87","Seeding start date_f4","2019-04-08"
"356","91","TREATMENT","v2_Irrigation sprinkler system_200mm_10 cm_2019-04-08"
"356","89","Crop variety_f1","v2"
"356","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"356","90","Tillage depth_f3","10 cm"
"356","87","Seeding start date_f4","2019-04-08"
"357","91","TREATMENT","v1_Irrigation sprinkler system_200mm_10 cm_2019-04-08"
"357","89","Crop variety_f1","v1"
