"SourceSampleId","SampleId","SpecimenNumber","TraitName","TraitInstanceNumber","MeasureDateTime","TraitValue","Location","Link:PlotId"
"","4621","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:06:26+0200","25.00","","340"
"","4622","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:06:28+0200","22.00","","340"
"","4623","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:06:30+0200","25.00","","340"
"","4618","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:05:52+0200","10.00","","340"
"","4619","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:06:18+0200","11.00","","340"
"","4620","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:06:22+0200","10.00","","340"
"","4624","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:06:33+0200","37.00","","340"
"","4625","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:06:36+0200","37.00","","340"
"","4626","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:06:38+0200","37.00","","340"
"","5338","0","Amount_harvested_g","1","2019-09-26T18:07:41+0200","2000.00","","340"
"","4630","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:07:20+0200","50.00","","340"
"","4631","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:07:22+0200","54.00","","340"
"","4632","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:07:24+0200","52.00","","340"
"","4627","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:07:01+0200","70.00","","340"
"","4628","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:07:13+0200","71.00","","340"
"","4629","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:07:16+0200","70.00","","340"
"","4636","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:08:37+0200","24.00","","341"
"","4637","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:08:39+0200","25.00","","341"
"","4638","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:08:43+0200","23.00","","341"
"","4633","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:08:25+0200","11.00","","341"
"","4634","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:08:27+0200","10.00","","341"
"","4635","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:08:33+0200","10.00","","341"
"","4639","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:09:05+0200","37.00","","341"
"","4640","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:09:07+0200","37.00","","341"
"","4641","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:09:09+0200","36.00","","341"
"","5339","0","Amount_harvested_g","1","2019-09-26T18:09:44+0200","2003.00","","341"
"","4645","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:09:25+0200","50.00","","341"
"","4646","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:09:35+0200","50.00","","341"
"","4647","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:09:39+0200","50.00","","341"
"","4642","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:09:17+0200","70.00","","341"
"","4643","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:09:19+0200","71.00","","341"
"","4644","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:09:31+0200","70.00","","341"
"","4651","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:10:07+0200","25.00","","342"
"","4652","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:10:08+0200","24.00","","342"
"","4653","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:10:09+0200","23.00","","342"
"","4648","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:09:56+0200","10.00","","342"
"","4649","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:10:04+0200","10.00","","342"
"","4650","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:10:05+0200","11.00","","342"
"","4654","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:10:12+0200","37.00","","342"
"","4655","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:10:13+0200","36.00","","342"
"","4656","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:10:14+0200","37.00","","342"
"","5340","0","Amount_harvested_g","1","2019-09-26T18:10:41+0200","2020.00","","342"
"","4660","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:10:35+0200","50.00","","342"
"","4661","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:10:36+0200","51.00","","342"
"","4662","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:10:37+0200","50.00","","342"
"","4657","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:10:29+0200","71.00","","342"
"","4658","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:10:30+0200","70.00","","342"
"","4659","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:10:31+0200","70.00","","342"
"","4666","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:12:26+0200","20.00","","343"
"","4667","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:12:28+0200","19.00","","343"
"","4668","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:12:29+0200","21.00","","343"
"","4663","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:11:54+0200","9.00","","343"
"","4664","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:12:00+0200","9.00","","343"
"","4665","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:12:01+0200","9.00","","343"
"","4669","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:12:35+0200","30.00","","343"
"","4670","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:12:36+0200","31.00","","343"
"","4671","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:12:38+0200","29.00","","343"
"","5341","0","Amount_harvested_g","1","2019-09-26T18:12:59+0200","1800.00","","343"
"","4675","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:12:50+0200","50.00","","343"
"","4676","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:12:52+0200","49.00","","343"
"","4677","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:12:56+0200","51.00","","343"
"","4672","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:12:43+0200","70.00","","343"
"","4673","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:12:44+0200","71.00","","343"
"","4674","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:12:46+0200","70.00","","343"
"","4681","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:24:11+0200","15.00","","344"
"","4682","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:24:13+0200","15.00","","344"
"","4683","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:24:15+0200","15.00","","344"
"","4678","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:24:07+0200","7.00","","344"
"","4679","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:24:08+0200","4.00","","344"
"","4680","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:24:09+0200","7.00","","344"
"","4684","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:24:17+0200","25.00","","344"
"","4685","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:24:19+0200","23.00","","344"
"","4686","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:24:20+0200","20.00","","344"
"","5342","0","Amount_harvested_g","1","2019-09-26T18:24:33+0200","1700.00","","344"
"","4690","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:24:26+0200","45.00","","344"
"","4691","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:24:28+0200","45.00","","344"
"","4692","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:24:30+0200","45.00","","344"
"","4687","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:24:22+0200","65.00","","344"
"","4688","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:24:23+0200","63.00","","344"
"","4689","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:24:24+0200","65.00","","344"
"","4696","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:25:00+0200","NA","","345"
"","4697","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:25:00+0200","NA","","345"
"","4698","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:25:01+0200","NA","","345"
"","4693","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:24:58+0200","NA","","345"
"","4694","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:24:59+0200","NA","","345"
"","4695","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:25:00+0200","NA","","345"
"","4699","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:25:01+0200","NA","","345"
"","4700","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:25:02+0200","NA","","345"
"","4701","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:25:02+0200","NA","","345"
"","5343","0","Amount_harvested_g","1","2019-09-26T18:25:19+0200","NA","","345"
"","4705","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:25:04+0200","NA","","345"
"","4706","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:25:06+0200","NA","","345"
"","4707","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:25:06+0200","NA","","345"
"","4702","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:25:03+0200","NA","","345"
"","4703","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:25:03+0200","NA","","345"
"","4704","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:25:04+0200","NA","","345"
"","4711","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:25:20+0200","NA","","346"
"","4712","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:25:20+0200","NA","","346"
"","4713","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:25:20+0200","NA","","346"
"","4708","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:25:19+0200","NA","","346"
"","4709","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:25:19+0200","NA","","346"
"","4710","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:25:19+0200","NA","","346"
"","4714","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:25:20+0200","NA","","346"
"","4715","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:25:20+0200","NA","","346"
"","4716","0","3:Maize_Grain_Fresh weight_g","3","2019-09-26T18:25:20+0200","NA","","346"
"","5344","0","Amount_harvested_g","1","2019-09-26T18:25:33+0200","NA","","346"
"","4720","0","2:Maize_Ear_Moisture content_%","1","2019-09-26T18:25:22+0200","NA","","346"
"","4721","0","2:Maize_Ear_Moisture content_%","2","2019-09-26T18:25:23+0200","NA","","346"
"","4722","0","2:Maize_Ear_Moisture content_%","3","2019-09-26T18:25:23+0200","NA","","346"
"","4717","0","1:Maize_Ear_Moisture content_%","1","2019-09-26T18:25:21+0200","NA","","346"
"","4718","0","1:Maize_Ear_Moisture content_%","2","2019-09-26T18:25:21+0200","NA","","346"
"","4719","0","1:Maize_Ear_Moisture content_%","3","2019-09-26T18:25:22+0200","NA","","346"
"","4726","0","2:Maize_Grain_Fresh weight_g","1","2019-09-26T18:26:09+0200","15.00","","347"
"","4727","0","2:Maize_Grain_Fresh weight_g","2","2019-09-26T18:26:10+0200","14.00","","347"
"","4728","0","2:Maize_Grain_Fresh weight_g","3","2019-09-26T18:26:11+0200","15.00","","347"
"","4723","0","1:Maize_Grain_Fresh weight_g","1","2019-09-26T18:25:42+0200","7.00","","347"
"","4724","0","1:Maize_Grain_Fresh weight_g","2","2019-09-26T18:25:43+0200","8.00","","347"
"","4725","0","1:Maize_Grain_Fresh weight_g","3","2019-09-26T18:26:06+0200","7.00","","347"
"","4729","0","3:Maize_Grain_Fresh weight_g","1","2019-09-26T18:26:12+0200","25.00","","347"
"","4730","0","3:Maize_Grain_Fresh weight_g","2","2019-09-26T18:26:13+0200","25.00","","347"
