"SourceInstanceId","TraitName","InstanceNumber","UsedForScoring","SortOrder","Description"
"","1:Maize_Grain_Fresh weight_g","1","true","1","(p)  Mai_Gra_FreW"
"","1:Maize_Grain_Fresh weight_g","3","true","1","(p)  Mai_Gra_FreW__3"
"","1:Maize_Grain_Fresh weight_g","2","true","1","(p)  Mai_Gra_FreW__2"
"","2:Maize_Grain_Fresh weight_g","2","true","2","(p)  Mai_Gra_FreW__2"
"","2:Maize_Grain_Fresh weight_g","3","true","2","(p)  Mai_Gra_FreW__3"
"","2:Maize_Grain_Fresh weight_g","1","true","2","(p)  Mai_Gra_FreW"
"","3:Maize_Grain_Fresh weight_g","3","true","3","(p)  Mai_Gra_FreW__3"
"","3:Maize_Grain_Fresh weight_g","2","true","3","(p)  Mai_Gra_FreW__2"
"","3:Maize_Grain_Fresh weight_g","1","true","3","(p)  Mai_Gra_FreW"
"","1:Maize_Ear_Moisture content_%","1","true","4","(p)  Mai_Ear_Moist"
"","1:Maize_Ear_Moisture content_%","2","true","4","(p)  Mai_Ear_Moist__2"
"","1:Maize_Ear_Moisture content_%","3","true","4","(p)  Mai_Ear_Moist__3"
"","2:Maize_Ear_Moisture content_%","1","true","5","(p)  Mai_Ear_Moist"
"","2:Maize_Ear_Moisture content_%","3","true","5","(p)  Mai_Ear_Moist__3"
"","2:Maize_Ear_Moisture content_%","2","true","5","(p)  Mai_Ear_Moist__2"
"","Amount_harvested_g","1","true","6","(p)  Har_Amount"
