"SourceTraitId","TraitName","TraitLevel","TraitDataType","TraitAlias","TraitUnit","TraitValidation","TraitDescription","Barcode"
"4","2:Soil_porosity_%","Plot","DECIMAL","Soil_Poro","%","RANGE(0.00 <= x <= 100.00)","Date:2019-12-17",""
"2","Senescence_end_date","Plot","DATE","Sen_EndD","dd/mm/yy","CHOICE(DATE)","",""
"4","1:Soil_porosity_%","Plot","DECIMAL","Soil_Poro","%","RANGE(0.00 <= x <= 100.00)","Date:2019-12-17",""
"77","Biotic_stress_control_product_amount_g/m2","Plot","DECIMAL","BioSCont_Amount","g/m2","RANGE(0.00 <= x <= 100000.00)","",""
"1","1:Rice_Grain_Plantdensity_plant/hill","Plot","DECIMAL","Pltdens","plant/hill","RANGE(0.00 <= x <= 100.00)","Growth stage:flowering, maturity",""
"17","Puddling_depth_cm","Plot","DECIMAL","Pud_Depth","cm","RANGE(0.00 <= x <= 100.00)","",""
"15","Puddling_start_date","Plot","DATE","Pud_StartD","dd/mm/yy","CHOICE(DATE)","",""
"3","Senescence_notes","Plot","TEXT","Sen_Notes","text","TEXT","",""
"1","2:Rice_Grain_Plantdensity_plant/hill","Plot","DECIMAL","Pltdens","plant/hill","RANGE(0.00 <= x <= 100.00)","Growth stage:flowering, maturity",""
"","new trait for marie","Plot","TEXT","","","","",""
